time,IP,SXR,FIR,PD,DML
0,1536.67760881281,NaN,NaN,-0,6.81662504846803e-05
0.0001,1535.33994025765,NaN,-6.47775320883357e+16,-0.00244037331238362,7.70407147263205e-05
0.0002,1513.11947793644,NaN,-7.28413515760163e+16,-0.00488260518505586,8.55311937136764e-05
0.0003,1525.24662231667,NaN,-1.10132097212364e+17,-0.00244223187267224,9.32964596679953e-05
0.0004,1516.45530512468,NaN,-1.05298209426182e+17,-0.0048828125,0.00010170779305447
0.0005,1516.71145240567,NaN,-1.08556048995258e+17,0.00244202455772811,0.00011061527198114
0.0006,1473.28021630219,NaN,-8.47653055313192e+16,-0.00488219055516756,0.000110993999583176
0.0007,1475.15389901645,NaN,-8.71704073940878e+16,-0,0.000100904358494461
0.0008,1463.34211752598,NaN,-1.05875047610465e+17,-0,9.47478578781711e-05
0.0009,1495.74887746154,NaN,-1.343955580954e+17,-0,9.33081771752712e-05
0.001,1519.38609144536,NaN,-1.55000299328444e+17,-0,9.71480945689399e-05
0.0011,1505.43526536816,NaN,-1.40669816127103e+17,-0,9.65250864702773e-05
0.0012,1510.82624821937,NaN,-1.16040099015781e+17,-0,9.23156811271298e-05
0.0013,1485.51602821602,NaN,-1.42499954500854e+17,-0,8.84785181568287e-05
0.0014,1503.30393041684,NaN,-1.43951455772882e+17,-0,8.0494717372547e-05
0.0015,1516.20007785496,NaN,-1.42944893637578e+17,-0,7.41659083394073e-05
0.0016,1517.57857162917,NaN,-1.36327238961178e+17,0.00488219782937621,7.22923399381427e-05
0.0017,1520.67732142757,NaN,-1.51935159024706e+17,-0,7.50940761719836e-05
0.0018,1531.28900687276,NaN,-1.19883487437072e+17,-0,8.07432636174625e-05
0.0019,1522.94807053877,NaN,-1.43858112751367e+17,-0,8.77861448180394e-05
0.002,1525.70578867025,NaN,-1.34392352855284e+17,-0,9.71272958624893e-05
0.0021,1491.59117134354,NaN,-1.38295388363609e+17,0.00244150267815538,0.000100962371630533
0.0022,1483.37036066071,NaN,-1.07644242600699e+17,-0,9.7829954575301e-05
0.0023,1453.09236108905,NaN,-1.02238178985536e+17,0.00244038058659215,9.07015373247106e-05
0.0024,1428.23759030351,NaN,-1.10389865756238e+17,-0.00488259791084716,8.49167725599967e-05
0.0025,1420.03909979117,NaN,-1.19876776157029e+17,-0,7.80648187659725e-05
0.0026,1442.14394896501,NaN,-1.23101293988848e+17,0.0048828125,7.18482452262131e-05
0.0027,1441.74915126453,NaN,-1.03927980439462e+17,0.0048828125,6.3641163898386e-05
0.0028,1450.31528823795,NaN,-9.35069639386451e+16,0.0048828125,5.38215449697885e-05
0.0029,1394.41122167713,NaN,-7.84305636305262e+16,0.00732462246857528,4.78649500256065e-05
0.003,1399.15181815917,NaN,-9.2495719387781e+16,0.009765625,4.65274868218111e-05
0.0031,1366.70805315317,NaN,-1.04194303066363e+17,0.009765625,4.96330101462373e-05
0.0032,1348.81583190539,NaN,-9.72420675455124e+16,0.0146472081587524,5.69432615085787e-05
0.0033,1310.78497600846,NaN,-7.80052127702601e+16,0.0122070203386872,6.53182028018685e-05
0.0034,1264.25781286758,NaN,-6.88592661694203e+16,0.0146484375,6.91012042510064e-05
0.0035,1241.70164811043,NaN,-8.49696896042994e+16,0.0146484375,7.18328655248256e-05
0.0036,1157.27226271882,NaN,-8.59586259513517e+16,0.01953125,6.84752836025623e-05
0.0037,1114.17524496704,NaN,-7.91722976436424e+16,0.01953125,5.92728161670687e-05
0.0038,1079.82780915082,NaN,-6.19391783300202e+16,0.0292962676035847,4.5352128960218e-05
0.0039,1009.08459130393,NaN,-5.08519182144076e+16,0.0317377772764324,4.1012200111271e-05
0.004,939.572396460514,NaN,-5.03080733772986e+16,0.0341796875,5.07777952017425e-05
0.0041,866.025689798006,NaN,-5.50382095591948e+16,0.0390625,6.75240161021144e-05
0.0042,772.676236531236,NaN,-5.93437915279105e+16,0.0439453125,8.16491193850015e-05
0.0043,695.130398546912,NaN,-4.35408017394515e+16,0.048828125,8.60094985919388e-05
0.0044,587.902553050972,NaN,-3.45505315559746e+16,0.05859375,7.96631129684162e-05
0.0045,499.514675907539,NaN,-1.76074946488005e+16,0.0659169503608011,6.54178097194334e-05
0.0046,446.815144139694,NaN,-3.39879257760771e+16,0.078125,5.36256678028063e-05
0.0047,330.664404244143,NaN,-3.44763996129718e+16,0.090331220175745,4.52674376614031e-05
0.0048,277.35139082846,NaN,-1.61916736004229e+16,0.1025390625,4.40982297756717e-05
0.0049,155.697305817123,NaN,-4.42197931736269e+15,0.114745489990689,4.13505744469933e-05
0.005,18.6205426949283,NaN,8.02405431310404e+15,0.1318359375,3.8464662326648e-05
0.0051,-82.8542382431307,NaN,3.61342447393046e+16,0.148925384805633,3.25382020741149e-05
0.0052,-207.129508484979,NaN,5.06880235978859e+16,0.170897008118017,3.06676771128506e-05
0.0053,-325.671034018537,NaN,5.43740514112694e+16,0.192870904620577,3.62356825455018e-05
0.0054,-466.081443431918,NaN,5.72376000052836e+16,0.21484375,4.44041797320644e-05
0.0055,-593.597918535599,NaN,6.7517864762737e+16,0.2392578125,5.42961221771563e-05
0.0056,-739.79877263041,NaN,9.62211393482757e+16,0.263671875,6.46956326252866e-05
0.0057,-892.37788824121,NaN,1.18453288807207e+17,0.2880859375,6.98137171926833e-05
0.0058,-1032.55023506779,NaN,1.39290933754374e+17,0.317382005062849,7.47659501255128e-05
0.0059,-1136.78637675851,NaN,1.81340538853255e+17,0.3466796875,7.5132304999555e-05
0.006,-1260.79508284835,NaN,2.08535975153009e+17,0.375975962377793,7.13473472705236e-05
